Site number,Site name,Province,Latitude,Longitude,Drainage region ID,Land use category,Tested substances,Core site?,Sampling period,Category,Report year,Site link,Site details
04300002,Kinojévis au Pont-Route 117 à l'Est De Mcwatters,Quebec,48.20804,-78.863716,20,Mining,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0604300002&GoCTemplateCulture=en-CA
"
04320001,Des Mille Îles au Pont-Route 125 à Terrebonne,Quebec,45.6905,-73.630554,21,Populated and Agriculture,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0604320001&GoCTemplateCulture=en-CA
"
04330019,Des Prairies à Son Embouchure au Centre du Pont-Route 138 (Pont le Gardeur),Quebec,45.704395,-73.483765,21,"Populated,  Agriculture,  and Mining","Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0604330019&GoCTemplateCulture=en-CA
"
05010007,"Saint-Maurice à 4, 5 km en Amont du Pont-Route 40 à Trois-Rivières et à 8 km De l'Embouchure (Uf)",Quebec,46.382053,-72.61004,21,Mining,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0605010007&GoCTemplateCulture=en-CA
"
05030001,Batiscan au Pont-Route à Sainte-Geneviève-De-Batiscan,Quebec,46.5259,-72.33838,21,Remote,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Good,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0605030001&GoCTemplateCulture=en-CA
"
05040007,Sainte-Anne au Pont-Route 138 à Sainte-Anne-De-la-Pérade,Quebec,46.5718,-72.20628,21,Remote,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0605040007&GoCTemplateCulture=en-CA
"
05080006,Jacques-Cartier au Pont-Route à l'Embouchure à Donnacona,Quebec,46.67856,-71.75116,21,Remote,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Good,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0605080006&GoCTemplateCulture=en-CA
"
05090017,Saint-Charles au Pont Dorchester à Quebec,Quebec,46.81918,-71.223434,21,Populated,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Fair,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0605090017&GoCTemplateCulture=en-CA
"
05220003,L' Assomption au Pont Rivest à le Gardeur (Repentigny); Depuis 1999 à 275 m en Amont du Pont Rivest ,Quebec,45.750996,-73.46836,21,"Populated,  Agriculture,  and Mining","Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Marginal,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0605220003&GoCTemplateCulture=en-CA
"
05230001,La Chaloupe au Pont-Route le Plus Proche De l'Embouchure,Quebec,46.067196,-73.180336,21,Populated and Agriculture,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Poor,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0605230001&GoCTemplateCulture=en-CA
"
05240001,Bayonne au Pont-Route à Berthierville,Quebec,46.094078,-73.17298,21,Populated and Agriculture,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Poor,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0605240001&GoCTemplateCulture=en-CA
"
05280001,"Du Loup à 3, 2 km De Son Embouchure Avec le Saint-Laurent au Sud De Louiseville",Quebec,46.243713,-72.922844,21,Remote,"Ammonia, Chlorophyll, Nitrogen, pH, Phosphorus, Turbidity",1,2015-2017,Marginal,2019,http://www.mddep.gouv.qc.ca/eau/flrivlac/iqe-iqbp.htm,"http://indicators-map.canada.ca/App/Detail?id=0605280001&GoCTemplateCulture=en-CA
"
06006300102,Oakville Creek,Ontario,43.44293,-79.67125,19,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Fair,2019,http://www.conservationhalton.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0606006300102&GoCTemplateCulture=en-CA
"
06007600302,Credit River,Ontario,43.64721,-79.85628,19,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.creditvalleyca.ca/,"http://indicators-map.canada.ca/App/Detail?id=0606007600302&GoCTemplateCulture=en-CA
"
06008301902,Humber River,Ontario,43.65143,-79.49133,19,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Marginal,2019,http://www.trca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0606008301902&GoCTemplateCulture=en-CA
"
06008501402,Don River,Ontario,43.68847,-79.36214,19,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Poor,2019,http://www.trca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0606008501402&GoCTemplateCulture=en-CA
"
08002201602,Ausable River,Ontario,43.36212,-81.50945,19,High Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Fair,2019,http://www.abca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0608002201602&GoCTemplateCulture=en-CA
"
08004000802,Bayfield River,Ontario,43.55072,-81.58937,19,High Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.abca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0608004000802&GoCTemplateCulture=en-CA
"
08005600302,Maitland River,Ontario,43.8955,-81.3535,19,High Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Fair,2019,http://www.mvca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0608005600302&GoCTemplateCulture=en-CA
"
08012303002,Saugeen River,Ontario,44.4561,-81.32606,19,High Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.svca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0608012303002&GoCTemplateCulture=en-CA
"
12000400202,Cataraqui River,Ontario,44.29378,-76.44104,21,Low Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.cataraquiregion.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0612000400202&GoCTemplateCulture=en-CA
"
12001700102,Gananoque River,Ontario,44.3285,-76.16689,21,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.cataraquiregion.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0612001700102&GoCTemplateCulture=en-CA
"
12007301102,North Raisin River,Ontario,45.15011,-74.73579,21,Low Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.rrca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0612007301102&GoCTemplateCulture=en-CA
"
12007301502,South Raisin River,Ontario,45.09994,-74.67696,21,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.rrca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0612007301502&GoCTemplateCulture=en-CA
"
12008600202,Delisle River,Ontario,45.32857,-74.6179,21,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.rrca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0612008600202&GoCTemplateCulture=en-CA
"
16016400102,Nanticoke Creek,Ontario,42.80999,-80.07651,19,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Fair,2019,http://www.lprca.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0616016400102&GoCTemplateCulture=en-CA
"
16018403502,Grand River,Ontario,42.90027,-79.61985,19,"Populated,  Agriculture,  and Mining","Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Marginal,2019,http://www.grandriver.ca/,"http://indicators-map.canada.ca/App/Detail?id=0616018403502&GoCTemplateCulture=en-CA
"
17002106702,Trent River,Ontario,44.30809,-77.95612,19,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.otonabee.com/orca/,"http://indicators-map.canada.ca/App/Detail?id=0617002106702&GoCTemplateCulture=en-CA
"
17002600902,Skootamotta River,Ontario,44.54924,-77.32831,19,Remote,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://quinteconservation.ca/web/,"http://indicators-map.canada.ca/App/Detail?id=0617002600902&GoCTemplateCulture=en-CA
"
17003100102,Salmon River,Ontario,44.19624,-77.2294,19,Low Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Fair,2019,http://quinteconservation.ca/web/,"http://indicators-map.canada.ca/App/Detail?id=0617003100102&GoCTemplateCulture=en-CA
"
17003500402,Napanee River,Ontario,44.32345,-76.87528,19,Low Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://quinteconservation.ca/web/,"http://indicators-map.canada.ca/App/Detail?id=0617003500402&GoCTemplateCulture=en-CA
"
18003300302,Kemptville Creek,Ontario,45.02736,-75.64159,20,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.rvca.ca/,"http://indicators-map.canada.ca/App/Detail?id=0618003300302&GoCTemplateCulture=en-CA
"
18003303502,Rideau River,Ontario,44.95114,-75.81948,20,Low Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.rvca.ca/,"http://indicators-map.canada.ca/App/Detail?id=0618003303502&GoCTemplateCulture=en-CA
"
18003303602,Jock River,Ontario,45.24921,-75.79081,20,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Fair,2019,http://www.rvca.ca/,"http://indicators-map.canada.ca/App/Detail?id=0618003303602&GoCTemplateCulture=en-CA
"
18207010002,South Nation River,Ontario,45.31853,-75.09253,20,Populated and Agriculture,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Fair,2019,http://www.nation.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0618207010002&GoCTemplateCulture=en-CA
"
18343023002,Mississippi River,Ontario,44.8502,-77.16923,20,Remote,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.mvc.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0618343023002&GoCTemplateCulture=en-CA
"
18343061002,Fall River,Ontario,44.94763,-76.41068,20,Remote,"Ammonia, Chloride, Chromium, Nickel, Nitrogen, Phosphorus, Zinc",1,2015-2017,Good,2019,http://www.mvc.on.ca/,"http://indicators-map.canada.ca/App/Detail?id=0618343061002&GoCTemplateCulture=en-CA
"
AB05AB0070,Oldman River near Brocket-Left Bank,Alberta,49.55861,-113.82222,11,Agriculture and Mining,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",0,2015-2017,Excellent,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05AB0070&GoCTemplateCulture=en-CA
"
AB05AD0010,Oldman River U/S Lethbridge,Alberta,49.70833,-112.875,11,Agriculture and Mining,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",1,2015-2017,Fair,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05AD0010&GoCTemplateCulture=en-CA
"
AB05AG0010,Oldman River D/S Lethbridge,Alberta,49.96111,-112.08472,11,Agriculture and Mining,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",0,2015-2017,Fair,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05AG0010&GoCTemplateCulture=en-CA
"
AB05AK0020,South Saskatchewan River above Medicine Hat,Alberta,50.04333,-110.72222,11,Agriculture and Mining,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",0,2015-2017,Fair,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05AK0020&GoCTemplateCulture=en-CA
"
AB05BH0010,Bow River at Cochrane,Alberta,51.17361,-114.46667,11,Mining,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",0,2015-2017,Excellent,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05BH0010&GoCTemplateCulture=en-CA
"
AB05BJ0450,Elbow River at 9th Ave Bridge,Alberta,51.04306,-114.04167,11,Populated and Agriculture,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",1,2015-2017,Excellent,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05BJ0450&GoCTemplateCulture=en-CA
"
AB05BM0010,Bow River below Carseland Weir,Alberta,50.83056,-113.41667,11,"Populated,  Agriculture,  and Mining","2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",1,2015-2017,Good,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05BM0010&GoCTemplateCulture=en-CA
"
AB05BN0010,Bow River at Ronalane,Alberta,50.04639,-111.5911,11,"Populated,  Agriculture,  and Mining","2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",1,2015-2017,Good,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05BN0010&GoCTemplateCulture=en-CA
"
AB05CC0010,Red Deer River above Red Deer,Alberta,52.26722,-113.86361,11,Medium Agriculture,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",1,2015-2017,Fair,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05CC0010&GoCTemplateCulture=en-CA
"
AB05CD0250,Red Deer River at Nevis Bridge,Alberta,52.30639,-113.07917,11,Low Agriculture,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",0,2015-2017,Fair,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05CD0250&GoCTemplateCulture=en-CA
"
AB05DF0010,NSR at Devon,Alberta,53.36889,-113.75139,10,Agriculture and Mining,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",0,2015-2017,Good,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05DF0010&GoCTemplateCulture=en-CA
"
AB05EC0010,NSR at Pakan,Alberta,54.00278,-112.39833,10,"Populated,  Agriculture,  and Mining","2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",1,2015-2017,Fair,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB05EC0010&GoCTemplateCulture=en-CA
"
AB07BE0010,Athabasca River at Athabasca,Alberta,54.72222,-113.28611,6,Agriculture and Mining,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",1,2015-2017,Fair,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB07BE0010&GoCTemplateCulture=en-CA
"
AB07DD0010,Athabasca River at Old Fort,Alberta,58.37722,-111.52278,6,Remote,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",1,2015-2017,Good,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB07DD0010&GoCTemplateCulture=en-CA
"
AB07GE0020,Wapiti River at Highway #40 Bridge South of Grande Prairie,Alberta,55.07194,-118.80472,6,Low Agriculture,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",0,2015-2017,Good,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB07GE0020&GoCTemplateCulture=en-CA
"
AB07GJ0010,Smoky River at Watino,Alberta,55.71556,-117.62194,6,Low Agriculture,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",1,2015-2017,Marginal,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB07GJ0010&GoCTemplateCulture=en-CA
"
AB07GJ0030,Wapiti River above Confluence of Smoky River,Alberta,55.135,-118.30833,6,Low Agriculture,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",0,2015-2017,Fair,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB07GJ0030&GoCTemplateCulture=en-CA
"
AB07HF0010,Peace River at Ft. Vermilion,Alberta,58.40444,-116.12806,6,Agriculture and Mining,"2,4-D, Aluminum, Ammonia, Arsenic, Cadmium, Copper, Lead, MCPA, Mercury, Nitrogen, Oxygen, Phosphorus, Silver, Zinc",1,2015-2017,Fair,2019,http://environment.alberta.ca/apps/EdwReportViewer/LongTermRiverNetwork.aspx,"http://indicators-map.canada.ca/App/Detail?id=06AB07HF0010&GoCTemplateCulture=en-CA
"
AK08DC0001,"Salmon River at Hyder, Alaska",British Columbia,56.02167,-130.0714,1,Remote,"Alkalinity, Arsenic, Cadmium, Copper, Lead, Nitrogen, pH, Phosphorus, Silver, Temperature, Zinc",1,2015-2017,Good,2019,http://aquatic.pyr.ec.gc.ca/webdataonlinenational,"http://indicators-map.canada.ca/App/Detail?id=06AK08DC0001&GoCTemplateCulture=en-CA
"
AL05AK0001,"South Saskatchewan River at Hwy 41,",Alberta,50.7375,-110.09555,11,Agriculture and Mining,"Ammonia, Arsenic, Chloride, Copper, Lead, Nickel, Nitrogen, Oxygen, pH, Phosphorus, Zinc",1,2015-2017,Fair,2019,http://www.ppwb.ca/map/142/index.html,"http://indicators-map.canada.ca/App/Detail?id=06AL05AK0001&GoCTemplateCulture=en-CA
"
AL05BA0011,Bow River at Highway 1 above Lake Louise,Alberta,51.44333,-116.2116,11,Remote,"Ammonia, Arsenic, Chloride, Copper, Lead, Nickel, Nitrogen, Oxygen, pH, Phosphorus, Zinc",1,2015-2017,Excellent,2019,http://www.ppwb.ca/map/142/index.html,"http://indicators-map.canada.ca/App/Detail?id=06AL05BA0011&GoCTemplateCulture=en-CA
"
AL05BE0013,Bow River about 4.5 km above Canmore,Alberta,51.12278,-115.3866,11,Remote,"Ammonia, Arsenic, Chloride, Copper, Lead, Nickel, Nitrogen, Oxygen, pH, Phosphorus, Zinc",0,2015-2017,Excellent,2019,http://www.ppwb.ca/map/142/index.html,"http://indicators-map.canada.ca/App/Detail?id=06AL05BE0013&GoCTemplateCulture=en-CA
"
AL05CK0001,"Red Deer River near Bindloss, Alberta",Alberta,50.90278,-110.29666,11,"Populated,  Agriculture,  and Mining","Ammonia, Arsenic, Chloride, Copper, Lead, Nickel, Nitrogen, Oxygen, pH, Phosphorus, Zinc",1,2015-2017,Marginal,2019,http://www.ppwb.ca/information/146/index.html,"http://indicators-map.canada.ca/App/Detail?id=06AL05CK0001&GoCTemplateCulture=en-CA
"
AL05DA0001,North Saskatchewan River at Whirlpool Point,Alberta,52.00278,-116.47222,10,Remote,"Ammonia, Arsenic, Chloride, Copper, Lead, Nickel, Nitrogen, Oxygen, pH, Phosphorus, Zinc",1,2015-2017,Excellent,2019,http://www.ppwb.ca/information/144/index.html,"http://indicators-map.canada.ca/App/Detail?id=06AL05DA0001&GoCTemplateCulture=en-CA
"
AL05EF0003,North Saskatchewan River at Highway #17 Bridge,Alberta,53.60139,-110.0085,10,High Agriculture,"Ammonia, Arsenic, Chloride, Copper, Lead, Nickel, Nitrogen, Oxygen, pH, Phosphorus, Zinc",1,2015-2017,Fair,2019,http://www.ppwb.ca/information/144/index.html,"http://indicators-map.canada.ca/App/Detail?id=06AL05EF0003&GoCTemplateCulture=en-CA
"
AL06AD0001,"Beaver River at Beaver Crossing,",Alberta,54.35417,-110.21194,15,Low Agriculture,"Ammonia, Arsenic, Chloride, Copper, Lead, Nickel, Nitrogen, Oxygen, pH, Phosphorus, Zinc",0,2015-2017,Marginal,2019,http://www.ppwb.ca/information/143/index.html,"http://indicators-map.canada.ca/App/Detail?id=06AL06AD0001&GoCTemplateCulture=en-CA
"
AL07AA0015,Athabasca River above Athabsca Falls,Alberta,52.66444,-117.88083,6,Remote,"Ammonia, Arsenic, Chloride, Copper, Lead, Nickel, Nitrogen, Oxygen, pH, Phosphorus, Zinc",0,2015-2017,Excellent,2019,http://www.ppwb.ca/map/142/index.html,"http://indicators-map.canada.ca/App/Detail?id=06AL07AA0015&GoCTemplateCulture=en-CA
"
AL07AA0023,Athabasca River at Highway #16 below Snaring River,Alberta,53.04167,-118.0872,6,Remote,"Ammonia, Arsenic, Chloride, Copper, Lead, Nickel, Nitrogen, Oxygen, pH, Phosphorus, Zinc",0,2015-2017,Excellent,2019,http://www.ppwb.ca/map/142/index.html,"http://indicators-map.canada.ca/App/Detail?id=06AL07AA0023&GoCTemplateCulture=en-CA
"
BC08EF0001,Skeena River at Usk,British Columbia,54.63444,-128.4092,1,Remote,"Cadmium, Chromium, Copper, Lead, Nitrogen, pH, Phosphorus, Silver, Temperature, Zinc",1,2015-2017,Good,2019,http://aquatic.pyr.ec.gc.ca/webdataonlinenational,"http://indicators-map.canada.ca/App/Detail?id=06BC08EF0001&GoCTemplateCulture=en-CA
"
BC08GA0010,Cheakamus River below Stp,British Columbia,50.05803,-123.099,1,Remote,"Cadmium, Chloride, Copper, Lead, Nitrogen, pH, Phosphorus, Temperature, Zinc",1,2015-2017,Good,2019,http://aquatic.pyr.ec.gc.ca/webdataonlinenational,"http://indicators-map.canada.ca/App/Detail?id=06BC08GA0010&GoCTemplateCulture=en-CA
"
BC08HA0018,Cowichan River 1km Downstream of Somenos Creek,British Columbia,48.7726,-123.6633,1,Populated,"Copper, Lead, Nitrogen, Oxygen, pH, Phosphorus, Temperature, Zinc",1,2015-2017,Fair,2019,http://aquatic.pyr.ec.gc.ca/webdataonlinenational,"http://indicators-map.canada.ca/App/Detail?id=06BC08HA0018&GoCTemplateCulture=en-CA
"
BC08HB0019,Englishman River at Hwy 19,British Columbia,49.316,-124.29,1,Remote,"Cadmium, Copper, Lead, Nitrogen, pH, Phosphorus, Temperature, Zinc",1,2015-2017,Fair,2019,http://aquatic.pyr.ec.gc.ca/webdataonlinenational,"http://indicators-map.canada.ca/App/Detail?id=06BC08HB0019&GoCTemplateCulture=en-CA
"
BC08HD0004,Quinsam River near the mouth,British Columbia,50.0267,-125.2967,1,Remote,"Alkalinity, Arsenic, Copper, Iron, Lead, Nitrogen, pH, Phosphorus, Temperature, Zinc",1,2015-2017,Fair,2019,http://aquatic.pyr.ec.gc.ca/webdataonlinenational,"http://indicators-map.canada.ca/App/Detail?id=06BC08HD0004&GoCTemplateCulture=en-CA
"
BC08KA0007,Fraser River at Red Pass,British Columbia,52.9878,-119.0101,2,Remote,"Copper, Lead, Nitrogen, pH, Phosphorus, Temperature, Zinc",1,2015-2017,Excellent,2019,http://aquatic.pyr.ec.gc.ca/webdataonlinenational,"http://indicators-map.canada.ca/App/Detail?id=06BC08KA0007&GoCTemplateCulture=en-CA
"
BC08KE0010,Nechako River at Prince George,British Columbia,53.92722,-122.765,2,Remote,"Cadmium, Chromium, Copper, Nitrogen, Oxygen, pH, Phosphorus, Silver, Temperature, Zinc",1,2015-2017,Fair,2019,http://aquatic.pyr.ec.gc.ca/webdataonlinenational,"http://indicators-map.canada.ca/App/Detail?id=06BC08KE0010&GoCTemplateCulture=en-CA
"
